-------- 1 - Emulator
Name,(emulated_console),init_rel,license,current_rel_ver,website
VisualBoy Advance,"Game Boy Color, Game Boy, Game Boy Advance",2001,GNU General Public License,2.1.11,<a href='https://visualboyadvance.org'>https://visualboyadvance.org</a>
PCSX2,PlayStation 2,2002,GNU General Public License version 3 (GPL-3.0),PCSX2 2.0,<a href='https://pcsx2.net/'>https://pcsx2.net/</a>
DOSBox,PC,2002,GNU General Public License version 2 (GPL-2.0),DOSBox 0.74-3,"<a href='https://www.dosbox.com/'>DOSBox, an x86 emulator with DOS</a>"
CEMU,"Wii U, PC",2015,Proprietary License,1.27.0,<a href='https://cemu.info/'>https://cemu.info/</a>
Dolphin,"GameCube, Wii",2003,GNU General Public License version 2 (GPL-2.0),5,<a href='https://dolphin-emu.org/'>https://dolphin-emu.org/</a>
PPSSPP,PlayStation Portable,2012,GNU General Public License version 2 (GPL-2.0),1.15.4,<a href='https://www.ppsspp.org/'>https://www.ppsspp.org/</a>
Nestopia,Nintendo Entertainment System (NES),2000,GNU General Public License version 2 (GPL-2.0),1.51,<a href='https://nestopia.sourceforge.net/'>https://nestopia.sourceforge.net/</a>
Kega Fusion,"Sega Genesis, Sega CD, Sega Saturn",1998,Freeware,3.64,<a href='https://kega-fusion.com/'>https://kega-fusion.com/</a>
ePSXe,PlayStation,2000,Freeware,2.0.5,<a href='https://www.epsxe.com/'>https://www.epsxe.com/</a>
RPCS3,PlayStation 3,2011,GNU General Public License version 2 (GPL-2.0),0.0.33-17042,<a href='https://rpcs3.net/download'>https://rpcs3.net/download</a>
Xemu,Xbox,2021,GNU General Public License version 2 (GPL-2.0),0.7.132,<a href='https://xemu.app/'>https://xemu.app/</a>
-------- 2 - Console
name,console_developer,rel_yr,eol_yr
Game Boy Color,Nintendo,1999,2003
PlayStation 2,Sony Computer Entertainment,2000,2013
Xbox,Microsoft,2001,2006
Nintendo Switch,Nintendo,2017,Null
PlayStation 4,Sony Interactive Entertainment,2013,Null
Xbox One,Microsoft,2013,2020
Wii U,Nintendo,2012,2017
GameCube,Nintendo,2001,2007
Wii  ,Nintendo,2006,2013
PlayStation Portable,Sony Computer Entertainment,2005,2014
Nintendo Entertainment System (NES),Nintendo,1985,1995
Sega CD,Sega,1992,1996
Sega Genesis,Sega,1989,1997
Sega Saturn,Sega,1995,1998
PlayStation,Sony Computer Entertainment,1995,2006
PlayStation 3,Sony Computer Entertainment,2007,2017
-------- 3 - Game
gm_id,name,developer,publisher,genre,rel_year
1,Pokemon Gold ,Game Freak,Nintendo,"RPG, Adventure, Strategy, Collectathon",1999
2,Pokemon Silver,Game Freak,Nintendo,"RPG, Adventure, Strategy, Collectathon",1999
3,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,"Action-Adventure, RPG",2002
4,Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"Action-Adventure, RPG",2004
5,Sid Meier's Civilization ,MicroProse,MicroProse,Turn-based strategy,1991
6,Sid Meier's Civilization II,Firaxis Games,Hasbro Interactive,Turn-based strategy,1996
7,Sid Meier's Civilization III,Firaxis Games,Atari,Turn-based strategy,2001
8,Sid Meier's Civilization IV,Firaxis Games,2K Games,Turn-based strategy,2010
9,Sid Meier's Civilization V,Firaxis Games,2K Games,Turn-based strategy,2010
10,Sid Meier's Civilization VI,Firaxis Games,2K Games,Turn-based strategy,2016
11,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,"Action-Adventure, RPG",2017
12,The Legend of Zelda: Twilight Princess HD,Tantalus Media,Nintendo,"Action-Adventure, RPG",2016
13,Super Smash Bros. Melee,HAL Laboratory,Nintendo,Fighting,2001
14,Metroid Prime,Retro Studios,Nintendo,"Action-Adventure, First-person shooter",2002
15,Super Mario Sunshine,Nintendo,Nintendo,Platformer,2002
16,Mario Kart: Double Dash,Nintendo,Nintendo,Kart Racing,2003
17,Crisis Core: Final Fantasy VII,Square Enix,Square Enix,Action role-playing,2007
18,Dissidia Final Fantasy,Square Enix,Square Enix,"Action role-playing, fighting",2008
19,Metroid  ,Nintendo,Nintendo,Action-adventure,1986
20,Metroid II: Return of Samus,Nintendo,Nintendo,Action-adventure,1991
21,Sonic 1,Sega,Sega,Platformer,1991
22,Sonic 2,Sega,Sega,Platformer,1992
23,Sonic CD,Sega,Sega,Platformer,1993
24,Final Fantasy VIII,Square Enix,Square Enix,Action role-playing,1999
25,Final Fantasy IX,Square Enix,Square Enix,Action role-playing,2000
26,God of War III,Santa Monica Studio,Sony Computer Entertainment,"Action-adventure, Hack and slash",2010
27,God of War: Ascension,Santa Monica Studio,Sony Computer Entertainment,"Action-adventure, Hack and slash",2013
28,Halo: Combat Evolved,Bungie,Microsoft Game Studios,First-person shooter,2001
29,Halo 2,Bungie,Microsoft Game Studios,First-person shooter,2004
-------- 4 - Company
name,founding_yr,parent_company
Nintendo,1889,Null
Game Freak,1989,Null
Rockstar Games,1998,Take-Two Interactive
Take-Two Interactive,1993,Null
Rockstar North,1988,Rockstar Games
Microsoft,1975,Null
2K Games,2005,Take-Two Interactive
MicroProse,1982,Null
Firaxis Games,1996,Take-Two Interactive
Hasbro Interactive,1996,Hasbro
Hasbro,1923,Null
Atari,1983,Null
Sony Interactive Entertainment,2016,Sony Group Corporation
Sony Computer Entertainment,1993,Sony Group Corporation
Sony Group Corporation,1946,Null
Tantalus Media,1994,Keywords Studio
Keywords Studio,1998,Null
HAL Laboratory,1980,Null
Retro Studios,1998,Nintendo
Square Enix,2003,"Square Enix Holdings Co., Ltd."
"Square Enix Holdings Co., Ltd.",2003,Null
Sega,1960,Sega Sammy Holdings Inc.
Sega Sammy Holdings Inc.,2004,Null
Santa Monica Studio,1999,Sony Interactive Entertainment
Bungie,1991,Null
Microsft Game Studios,2002,Microsoft
-------- 5 - Series
name,(games)
Pokemon ,"Pokemon Gold, Pokemon Silver"
Grand Theft Auto,"GTA: Vice City, GTA: San Andreas"
Civilization ,"Sid Meier's Civilization 
Sid Meier's Civilization II
Sid Meier's Civilization III
Sid Meier's Civilization IV
Sid Meier's Civilization V
Sid Meier's Civilization VI"
Legend of Zelda,"The Legend of Zelda: Breath of the Wild
The Legend of Zelda: Twilight Princess HD"
Mario,"Super Mario Sunshine
Mario Kart: Double Dash"
Final Fantasy,"Crisis Core: Final Fantasy VII Final Fantasy VIII
Final Fantasy IX
Dissidia Final Fantasy"
Metroid,"Metroid  
Metroid II: Return of Samus Metroid Prime"
Sonic,"Sonic 1
Sonic 2
Sonic CD"
God of War,"God of War III
God of War: Ascension"
Halo,"Halo: Combat Evolved
Halo 2"
-------- 6 - Playable_On_Console
Console_Name,Game_Name
Game Boy Color,Pokemon Gold 
Game Boy Color,Pokemon Silver
PlayStation 2,Grand Theft Auto: Vice City
PlayStation 2,Grand Theft Auto: San Andreas
Xbox,Grand Theft Auto: Vice City
Xbox,Grand Theft Auto: San Andreas
PC,Sid Meier's Civilization
PC,Sid Meier's Civilization II
PC,Sid Meier's Civilization III
PC,Sid Meier's Civilization IV
PC,Sid Meier's Civilization V
PC,Sid Meier's Civilization VI
Nintendo Switch,Sid Meier's Civilization VI
PlayStation 4,Sid Meier's Civilization VI
Xbox One,Sid Meier's Civilization VI
Wii U,The Legend of Zelda: Breath of the Wild
Nintendo Switch,The Legend of Zelda: Breath of the Wild
Wii U,The Legend of Zelda: Twilight Princess HD
GameCube,Super Mario Sunshine
GameCube,Mario Kart: Double Dash
GameCube,Super Smash Bros. Melee
GameCube,Metroid Prime
GameCube,Super Mario Sunshine
GameCube,Mario Kart: Double Dash
PlayStation Portable,Crisis Core: Final Fantasy VII
PlayStation Portable,Dissidia Final Fantasy
Nintendo Entertainment System (NES),Metroid  
Nintendo Entertainment System (NES),Metroid II: Return of Samus
Sega Genesis,Sonic 1
Sega Genesis,Sonic 2
Sega CD,Sonic CD
PlayStation,Final Fantasy VIII
PlayStation,Final Fantasy IX
PlayStation 3,God of War III
PlayStation 3,God of War: Ascension
Xbox  ,Halo: Combat Evolved
Xbox,Halo 2
-------- 7 - Playable_On_Emulator
Emulator_Name,Game_Name
VisualBoy Advance,Pokemon Gold 
VisualBoy Advance,Pokemon Silver
PCSX2,Grand Theft Auto: Vice City
PCSX2,Grand Theft Auto: San Andreas
DOSBox,Sid Meier's Civilization 
DOSBox,Sid Meier's Civilization II
CEMU,The Legend of Zelda: Breath of the Wild
CEMU,The Legend of Zelda: Twilight Princess HD
Dolphin,Super Smash Bros. Melee
Dolphin,Metroid Prime
Dolphin,Super Mario Sunshine
Dolphin,Mario Kart: Double Dash
PlayStation Portable,Crisis Core: Final Fantasy VII
PlayStation Portable,Dissidia Final Fantasy
Nestopia,Metroid  
Nestopia,Metroid II: Return of Samus
Kega Fusion,Sonic 1
Kega Fusion,Sonic 2
Kega Fusion,Sonic CD
ePSXe,Final Fantasy VIII
ePSXe,Final Fantasy IX
RPCS3,God of War III
RPCS3,God of War: Ascension
Xemu,Halo: Combat Evolved
Xemu,Halo 2
-------- 8 - Makes_Console
company,console
Nintendo,Game Boy Color
Sony Computer Entertainment,PlayStation 2
Microsoft,Xbox
Nintendo,Nintendo Switch
Sony Interactive Entertainment,PlayStation 4
Microsoft,Xbox One
Nintendo,Wii U
GameCube,Nintendo
Wii  ,Nintendo
PlayStation Portable,Sony Computer Entertainment
Nintendo Entertainment System (NES),Nintendo   
Sega CD,Sega
Sega Genesis,Sega
Sega Saturn,Sega
PlayStation,Sony Computer Entertainment
PlayStation 3,Sony Computer Entertainment
-------- 9 - Makes_Game
company,game
Game Freak,Pokemon Gold 
Game Freak,Pokemon Silver
Rockstar North,Grand Theft Auto: Vice City
Rockstar North,Grand Theft Auto: San Andreas
MicroProse,Sid Meier's Civilization 
Firaxis Games,Sid Meier's Civilization II
Firaxis Games,Sid Meier's Civilization III
Firaxis Games,Sid Meier's Civilization IV
Firaxis Games,Sid Meier's Civilization V
Firaxis Games,Sid Meier's Civilization VI
Nintendo,The Legend of Zelda: Breath of the Wild
Tantalus Media,The Legend of Zelda: Twilight Princess HD
HAL Laboratory,Super Smash Bros. Melee
Retro Studios,Metroid Prime
Nintendo,Super Mario Sunshine
Nintendo,Mario Kart: Double Dash
Square Enix,Crisis Core: Final Fantasy VII
Square Enix,Dissidia Final Fantasy
Nintendo,Metroid  
Nintendo,Metroid II: Return of Samus
Sega,Sonic 1
Sega,Sonic 2
Sega,Sonic CD
Square Enix,Final Fantasy VIII
Square Enix,Final Fantasy IX
Santa Monica Studio,God of War III
Santa Monica Studio,God of War: Ascension
Bungie,Halo: Combat Evolved
Bungie,Halo 2
