gm_id,name,developer,publisher,rel_on,genre,rel_year
3,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,PlayStation 2,"Action-Adventure, RPG",2002
4,Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,PlayStation 2,"Action-Adventure, RPG",2004
11,Metroid Dread,Nintendo,Nintendo,Nintendo Switch,"Action-Adventure, RPG",2021
12,The Legend of Zelda: Twilight Princess HD,Tantalus Media,Nintendo,Wii U,"Action-Adventure, RPG",2016
13,Super Smash Bros. Melee,HAL Laboratory,Nintendo,GameCube,Fighting,2001
14,Metroid Prime,Retro Studios,Nintendo,GameCube,"Action-Adventure, First-person shooter",2002
15,Super Mario Sunshine,Nintendo,Nintendo,GameCube,Platformer,2002
16,Mario Kart: Double Dash,Nintendo,Nintendo,GameCube,Kart Racing,2003
,Mario Kart: Super Circuit,Nintendo,Nintendo,Game Boy Advance,Kart Racing,2003
17,Crisis Core: Final Fantasy VII,Square Enix,Square Enix,PlayStation Portable,Action role-playing,2007
18,Dissidia Final Fantasy,Square Enix,Square Enix,PlayStation Portable,"Action role-playing, fighting",2008
19,Metroid  ,Nintendo,Nintendo,Nintendo Entertainment System (NES),Action-adventure,1986
24,Final Fantasy VIII,Square Enix,Square Enix,PlayStation,Action role-playing,1999
25,Final Fantasy IX,Square Enix,Square Enix,PlayStation,Action role-playing,2000
26,God of War III,Santa Monica Studio,Sony Computer Entertainment,PlayStation 3,"Action-adventure, Hack and slash",2010
27,God of War: Ascension,Santa Monica Studio,Sony Computer Entertainment,PlayStation 3,"Action-adventure, Hack and slash",2013
28,Halo: Combat Evolved,Bungie,Microsoft Game Studios,Xbox,First-person shooter,2001
29,Halo 2,Bungie,Microsoft Game Studios,Xbox,First-person shooter,2004
