Emulator_Name,Game_Name
PCSX2,Grand Theft Auto: Vice City
PCSX2,Grand Theft Auto: San Andreas
CEMU,The Legend of Zelda: Breath of the Wild
CEMU,The Legend of Zelda: Twilight Princess HD
Dolphin,Super Smash Bros. Melee
Dolphin,Metroid Prime
Dolphin,Super Mario Sunshine
Dolphin,Mario Kart: Double Dash
PlayStation Portable,Crisis Core: Final Fantasy VII
PlayStation Portable,Dissidia Final Fantasy
Nestopia,Metroid  
BeetlePSX,Final Fantasy VIII
BeetlePSX,Final Fantasy IX
RPCS3,God of War III
RPCS3,God of War: Ascension
Xemu,Halo: Combat Evolved
Xemu,Halo 2
