name,games
Pokemon ,"Pokemon Gold, Pokemon Silver"
Grand Theft Auto,"GTA: Vice City, GTA: San Andreas"
Legend of Zelda,"The Legend of Zelda: Breath of the Wild, 
The Legend of Zelda: Twilight Princess HD,
The Legend of Zelda: A Link to the Past,
The Legend of Zelda: The Windwaker HD"
Mario,"Super Mario Sunshine
Mario Kart: Double Dash"
Final Fantasy,"Crisis Core: Final Fantasy VII Final Fantasy VIII
Final Fantasy IX
Dissidia Final Fantasy"
Metroid,"Metroid, Metroid Prime"
God of War,"God of War III
God of War: Ascension"
Halo,"Halo: Combat Evolved
Halo 2"
Pikmin,"Pikmin,
Pikmin2"
Uncharted,"Uncharted: Drake's Fortune,
Uncharted 2: Among Thieves,
Uncharted 3: Drake's Deception"
